Article_ID,DOI,Authors,Year,Duration sampling (years),Start_sampling,End_sampling,Continent,Country,N. cities,City,Sampling type,Sampling methodology,Number sites,Abundance honeybees,Abundance wild bees,Total bees,Proportion honeybees,Proportion wildbees
A83,10.1002/eap.1869,"KM Ballare, JL Neff, R Ruppel, S Jha",2019,,,,America,USA,2,"Dallas, Austin",Passive,Pan traps,40,68,12653,12721,0.005345492,0.994654508
A99,https://doi.org/10.1016/j.biocon.2018.01.025,"SB Lerman, AR Contosta, J Milam, C Bang",2018,2,2013,2014,America,USA,1,Springfield,Passive,Pan traps,16,244,4343,4587,0.053193809,0.946806191
A106,10.1017/S0007485317000153,"M Plascencia, SM Philpott",2017,1,2015,2015,America,USA,3,"Monterey, Santa Clara, and Santa Cruz",Both,"Hand-netting, pan traps",18,785,569,1354,0.58,0.42
A113.1,https://doi.org/10.7717/peerj.3051,"É Normandin, NJ Vereecken, CM Buddle, V Fournier",2017,2,2012,2013,America,Canada,1,Montreal,Passive,Pan traps,24,416,23808,24224,0.017173052,0.982826948
A113.2,https://doi.org/10.7717/peerj.3051,"É Normandin, NJ Vereecken, CM Buddle, V Fournier",2017,2,2012,2013,America,Canada,1,Quebec,Passive,Pan traps,22,95,7918,8013,0.011855734,0.988144266
A125,https://doi.org/10.1093/ee/nvw025,"RD Quistberg, P Bichier…",2016,1,2013,2013,America,USA,3,"Monterey, Santa Clara, and Santa Cruz",Both,"Hand-netting, pan traps",19,888,1678,2566,0.346,0.654
A141,10.1080/00379271.2016.1146632,"B Geslin, V Le Féon, M Kuhlmann…",2015,1,2012,2012,Oceania,Australia,1,Melbourne,Both,"Hand-netting, pan traps",39,91,645,736,0.123641304,0.876358696
A161,10.1007/s11252-014-0349-0,"GL Pardee, SM Philpott",2014,1,2010,2010,America,USA,1,Ohio,Both,"Hand-netting, pan traps",16,75,564,639,0.117370892,0.882629108
A164,10.1007/s10531-014-0752-0,"DM Lowenstein, KC Matteson, I Xiao, AM Silva…",2014,1,2011,2011,America,USA,1,Chicago,Active,Hand-netting,25,68,420,488,0.139344262,0.860655738
A184,10.1007/s11252-011-0202-7,"EI Hennig, J Ghazoul",2012,1,2008,2008,Europe,Switzerland,1,Zurich,Active,Observation,89,1086,1776,2862,0.379454927,0.620545073
A186,https://doi.org/10.1371/journal.pone.0023459,"AJ Bates, JP Sadler, AJ Fairbrass, SJ Falk, JD Hale…",2011,1,2010,2010,America,USA,1,Birgminham,Passive,Pan traps,22,64,1228,1292,0.05,0.95
A188,https://doi.org/10.1016/j.landurbplan.2011.07.004,"R Tonietto, J Fant, J Ascher, K Ellis, D Larkin",2011,1,2008,2008,America,USA,1,Chicago,Active,Observation,18,6,671,677,0.008862629,0.991137371
A196,10.1007/s11252-010-0122-y,"KC Matteson, GA Langellotto",2010,1,2008,2008,America,USA,1,New York,Both,"Hand-netting, pan traps",19,30,1115,1145,0.026200873,0.973799127
A209,https://doi.org/10.1111/1365-2664.13270,"Guenat, et al.,",2018,1,2016,2016,Africa,Ghana,1,Sunyani,Passive,Pan traps,84,3,92,95,0.031578947,0.968421053
A212,https://doi.org/10.1007/s10841-018-0068-6,"Choatte et al.,",2018,1,2015,2016,America,USA,1,Meadville,Passive,"vane traps, pan traps",17,41,1562,1603,0.025577043,0.974422957
A213,https://doi.org/10.1007/s11252-017-0726-6,"Kratschmer et al., ",2018,1,2014,2014,Europe,Austria,1,Viena,Active,Hand-netting,9,1470,992,2462,0.597075548,0.402924452
A217,https://doi.org/10.1111/1365-2664.13085,"Simao et al.,",2018,2,2016,2017,America,USA,1,Ann Arbor,Active,Hand-netting,16,1,341,342,0.002923977,0.997076023
A218,https://doi.org/10.1111/1365-2664.13773,"Turo et al.,",2020,2,2015,2016,America,USA,1,Cleveland,Passive,Pan traps,56,1355,900,2255,0.600886918,0.399113082
A221,https://doi.org/10.1007/s11252-023-01351-x,ZANINOTTO et al.,2023,2,2019,2020,Europe,France,1,Paris,Both,"Hand-netting, pan traps",12,1168,3142,4310,0.27099768,0.72900232
